DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,LOCATION,ON.STREET.NAME,CROSS.STREET.NAME,OFF.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,CONTRIBUTING.FACTOR.VEHICLE.3,CONTRIBUTING.FACTOR.VEHICLE.4,CONTRIBUTING.FACTOR.VEHICLE.5,UNIQUE.KEY,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,VEHICLE.TYPE.CODE.3,VEHICLE.TYPE.CODE.4,VEHICLE.TYPE.CODE.5,SLOWZONE,SPEED_HUMP,SIGNAL_TIMING,BIKE_PRIORITY,ENHANCED_CROSSING,LEAD_PEDESTRIAN_INTERVAL,LEFT_TURN_TRAFFIC_CALMING,NEIGHBORHOOD_SLOW_ZONE,SAFE_STREETS_FOR_SENIORS,SIP_INTERSECTIONS,SAFE_CORRIDORS,PRIORITY_CORRIDORS,PRIORITY_INTERSECTIONS,PRIORITY_ZONES,VZ,YEAR,MONTH,DAY_OF_WEEK,NBR_VZ_INITIATIVES,EPSILON,SAMPLES
2014-02-28,23:45,QUEENS,11378.0,40.7216282,-73.90311729999998,"(40.7216282, -73.9031173)",FRESH POND ROAD                 ,FLUSHING AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,219270,TAXI,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2014,2,4,3,0.2,20
2014-02-28,8:17,BROOKLYN,11204.0,40.61652120000001,-73.9858588,"(40.6165212, -73.9858588)",65 STREET                       ,20 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,125588,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2014,2,4,3,0.2,20
2017-11-29,7:35,,,40.81418,-73.93246500000002,"(40.81418, -73.932465)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Following Too Closely,,,3799860,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,11,2,0,0.2,20
2013-11-14,19:05,BROOKLYN,11210.0,40.61721160000001,-73.9450662,"(40.6172116, -73.9450662)",NOSTRAND AVENUE                 ,AVENUE N                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,151435,BUS,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2013,11,3,3,0.2,20
2017-10-20,2:26,MANHATTAN,10028.0,40.77749,-73.95081,"(40.77749, -73.95081)",,,335       EAST 86 STREET                ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3775088,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2017,10,4,3,0.2,20
2017-07-23,3:25,STATEN ISLAND,10305.0,40.587067,-74.09161999999998,"(40.587067, -74.09162)",HYLAN BOULEVARD                 ,GARRETSON AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,,,3717149,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2017,7,6,3,0.2,20
2017-08-09,8:30,QUEENS,11422.0,40.665348,-73.72986,"(40.665348, -73.72986)",SOUTH CONDUIT AVENUE            ,HOOK CREEK BOULEVARD,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,,,3727651,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,8,2,0,0.2,20
2015-07-04,16:00,BROOKLYN,11228.0,40.6118527,-74.0102504,"(40.6118527, -74.0102504)",86 STREET                       ,BAY 8 STREET                    ,,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,Unspecified,,,3252060,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2015,7,5,2,0.2,20
2013-01-24,11:00,QUEENS,11432.0,40.7037516,-73.7991488,"(40.7037516, -73.7991488)",160 STREET                      ,JAMAICA AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,210106,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,2013,1,3,6,0.2,20
2017-03-17,18:16,,,40.86832,-73.83317,"(40.86832, -73.83317)",,,BARTOW AVENUE                           ,2,0,0,0,0,0,2,0,Driver Inexperience,Unspecified,Unspecified,Unspecified,Unspecified,3634692,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2017,3,4,2,0.2,20
