Unnamed: 0,DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,LOCATION,ON.STREET.NAME,CROSS.STREET.NAME,OFF.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,CONTRIBUTING.FACTOR.VEHICLE.3,CONTRIBUTING.FACTOR.VEHICLE.4,CONTRIBUTING.FACTOR.VEHICLE.5,UNIQUE.KEY,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,VEHICLE.TYPE.CODE.3,VEHICLE.TYPE.CODE.4,VEHICLE.TYPE.CODE.5,DATENew,year,month,DAY_OF_WEEK,hour,SLOWZONE,SPEED_HUMP,SIGNAL_TIMING,BIKE_PRIORITY,ENHANCED_CROSSING,LEADING_PEDESTRIAN_INTERVAL,LEFT_TURN_TRAFFIC_CALMING,NEIGHBORHOOD_SLOW_ZONE,SAFE_STREETS_FOR_SENIORS,SIP_INTERSECTIONS,SIP_CORRIDORS,PRIORITY_CORRIDORS,PRIORITY_INTERSECTIONS,PRIORITY_ZONES,NBR_VZ_INITIATIVES,TOTAL_INJURED,TOTAL_KILLED,EPSILON,SAMPLES
79509,10/20/2017,2018-03-24 19:30:00,,,40.814304,-73.940704,"(40.814304, -73.940704)",LENOX AVENUE                    ,,,1,0,1,0,0,0,0,0,Aggressive Driving/Road Rage,,,,,3774820,TAXI,,,,,2017-10-20,2017,10,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.2,60
442401,03/23/2016,2018-03-24 18:00:00,QUEENS,11372.0,40.7549596,-73.88429980000001,"(40.7549596, -73.8842998)",                                ,                                ,33-25 83 STREET                         ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3429291,PASSENGER VEHICLE,BICYCLE,,,,2016-03-23,2016,3,2,18,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,2,0,0.2,60
662707,03/22/2015,2018-03-24 14:55:00,MANHATTAN,10029.0,40.791570799999995,-73.9467714,"(40.7915708, -73.9467714)",EAST 105 STREET                 ,LEXINGTON AVENUE                ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3190639,PASSENGER VEHICLE,BICYCLE,,,,2015-03-22,2015,3,6,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0.2,60
404086,05/23/2016,2018-03-24 00:00:00,MANHATTAN,10035.0,40.7966809,-73.9349137,"(40.7966809, -73.9349137)",EAST 117 STREET                 ,1 AVENUE                        ,                                        ,1,0,1,0,0,0,0,0,Unspecified,,,,,3448604,,,,,,2016-05-23,2016,5,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,4,2,0,0.2,60
108049,09/06/2017,2018-03-24 16:30:00,BROOKLYN,11226.0,40.655376000000004,-73.9507,"(40.655376, -73.9507)",,,286       CLARKSON AVENUE               ,1,0,1,0,0,0,0,0,Unspecified,,,,,3745222,SPORT UTILITY / STATION WAGON,,,,,2017-09-06,2017,9,2,16,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,2,0,0.2,60
506457,12/04/2015,2018-03-24 22:00:00,BRONX,10454.0,40.808432200000006,-73.9233717,"(40.8084322, -73.9233717)",WILLIS AVENUE                   ,EAST 137 STREET                 ,,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,3347131,SPORT UTILITY / STATION WAGON,BICYCLE,,,,2015-12-04,2015,12,4,22,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0.2,60
118602,08/19/2017,2018-03-24 10:40:00,,,40.768215000000005,-73.95701,"(40.768215, -73.95701)",EAST 72 STREET                  ,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3734163,BICYCLE,PICK-UP TRUCK,,,,2017-08-19,2017,8,5,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0.2,60
139130,07/18/2017,2018-03-24 21:06:00,BROOKLYN,11212.0,40.65715,-73.91572,"(40.65715, -73.91572)",,,450       ROCKAWAY PARKWAY              ,1,0,0,0,1,0,0,0,Driver Inexperience,Obstruction/Debris,,,,3714010,PASSENGER VEHICLE,BICYCLE,,,,2017-07-18,2017,7,1,21,0,0,0,1,0,0,0,0,1,0,1,1,0,1,5,2,0,0.2,60
122602,08/13/2017,2018-03-24 22:30:00,BROOKLYN,11222.0,40.725165999999994,-73.94958000000001,"(40.725166, -73.94958)",,,167       ECKFORD STREET                ,1,0,0,0,1,0,0,0,Unspecified,,,,,3730560,BICYCLE,,,,,2017-08-13,2017,8,6,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0.2,60
602829,06/30/2015,2018-03-24 10:30:00,BROOKLYN,11223.0,40.5978758,-73.98548100000001,"(40.5978758, -73.985481)",STILLWELL AVENUE                ,85 STREET                       ,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3249695,SPORT UTILITY / STATION WAGON,BICYCLE,,,,2015-06-30,2015,6,1,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0.2,60
150729,06/29/2017,2018-03-24 14:00:00,QUEENS,11372.0,40.755917,-73.87317,"(40.755917, -73.87317)",,,33-47     JUNCTION BOULEVARD            ,1,0,1,0,0,0,0,0,Unspecified,,,,,3701889,SPORT UTILITY / STATION WAGON,,,,,2017-06-29,2017,6,3,14,0,0,0,1,0,0,0,0,1,0,0,1,0,1,4,2,0,0.2,60
151383,06/28/2017,2018-03-24 12:10:00,BROOKLYN,11205.0,40.690174,-73.95527,"(40.690174, -73.95527)",KOSCIUSZKO STREET               ,BEDFORD AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3700954,SPORT UTILITY / STATION WAGON,,,,,2017-06-28,2017,6,2,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0.2,60
159303,06/18/2017,2018-03-24 09:00:00,BROOKLYN,11215.0,40.66948,-73.98692,"(40.66948, -73.98692)",,,297       9 STREET                      ,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3693501,BICYCLE,PASSENGER VEHICLE,,,,2017-06-18,2017,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.2,60
85140,10/11/2017,2018-03-24 14:30:00,BROOKLYN,11212.0,40.669136,-73.91062,"(40.669136, -73.91062)",,,444       ROCKAWAY AVENUE               ,1,0,1,0,0,0,0,0,Unspecified,,,,,3767999,PASSENGER VEHICLE,,,,,2017-10-11,2017,10,2,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,2,0,0.2,60
171668,05/30/2017,2018-03-24 00:00:00,MANHATTAN,10037.0,40.809525,-73.93789,"(40.809525, -73.93789)",MADISON AVENUE                  ,EAST 131 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3681977,PASSENGER VEHICLE,,,,,2017-05-30,2017,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.2,60
173181,05/27/2017,2018-03-24 11:05:00,QUEENS,11354.0,40.764706,-73.822975,"(40.764706, -73.822975)",,,144-50    NORTHERN BOULEVARD            ,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3678830,SPORT UTILITY / STATION WAGON,BICYCLE,,,,2017-05-27,2017,5,5,11,1,0,0,0,0,0,0,0,1,0,1,1,0,1,5,2,0,0.2,60
